generos_musicales_favoritos,cantidad
"Pop, Reggaeton, Electrónica",6
"Pop, Reggaeton, Corridos tumbados",5
"Pop, Reggaeton, R&b",4
"Pop, R&b, Kpop",4
"Pop, Rock, Reggaeton",4
"Pop, Rock, Baladas",3
"Pop, Rock, Kpop",3
"Pop, Rock, R&b",3
"Pop, Electrónica, Alternativa ",2
"Pop, Rock, Hiphop",2
"Pop, Rock, Electrónica",2
"Pop, Reggaeton, Banda (Regional Mexicano)",2
"Pop, Rock, Boleros",2
"Pop, Rock, Jazz",2
"Pop, Kpop",2
"Boleros, Corridos, Corridos tumbados",1
"Hiphop, R&b, Corridos tumbados",1
"Reggaeton, Reggae, Mariachi",1
"Pop, Country, Baladas",1
"Salsa, Baladas, Duranguense",1
"Hiphop, R&b, Electrónica",1
"Rock, Kpop, Jazz",1
"Pop, Kpop, Baladas",1
"Pop, Hiphop, Corridos tumbados",1
"Pop, Country",1
"Hiphop, Reggaeton, R&b",1
"Hiphop, Reggaeton, Corridos tumbados",1
"Pop, Hiphop, Kpop",1
"Reggaeton, Salsa, Corridos",1
"Hiphop, R&b, Salsa",1
"Pop, R&b, Indie Pop, Trap",1
"Rock, Jazz, Salsa",1
"Reggaeton, Kpop, Baladas",1
"Pop, Rock",1
"Reggaeton, Corridos, Corridos tumbados",1
"Indie y música chill ",1
"Reggaeton, Salsa, Duranguense",1
"Reggaeton, Electrónica, Corridos tumbados",1
"Pop, Clásica, Kpop",1
"Kpop, Baladas, Boleros",1
"Pop, Reggae, Pop en ingles",1
"Reggaeton, R&b, Corridos tumbados",1
"Pop, Reggaeton",1
"Pop, Reggaeton, Corridos",1
"Pop, Rock, Punk",1
"Pop, Kpop, Mariachi",1
"Pop, Jpop",1
"Pop, Hiphop, Electrónica",1
"Pop, R&b, Boleros",1
"Rock, Reggaeton, Clásica",1
"Pop, Reggaeton, Alternativo ",1
"Pop, Metal, Indie",1
"Rock, Reggaeton, Corridos",1
"Pop, Kpop, Punk",1
"Pop, Rock, Indie ",1
"Reggaeton, Salsa, Banda (Regional Mexicano)",1
"Pop, Rock, Bandas sonoras de videojuegos, alternativa y Cantautores",1
"Rock, Kpop, Punk",1
"Reggaeton, Electrónica, Punk",1
"Country, Banda (Regional Mexicano), Metal",1
"Pop, Rock, Clásica",1
"Hiphop, Reggaeton, Electrónica",1
"Reggaeton, Electrónica, Banda (Regional Mexicano)",1
"Rock, Jazz, Boleros",1
"Rock, Reggaeton, Electrónica",1
"Pop, Rock, Lofi",1
"Rock, Electrónica, Corridos tumbados",1
"Rock, Punk, Mariachi",1
"Rock, Hiphop, Kpop",1
"Pop, Clásica, Salsa",1
"Rock, Hiphop, Metal",1
"Rock, Hiphop, Cumbia",1
"Reggaeton, Electrónica, Trapmetal",1
"Rock, Reggaeton, Salsa",1
"Rock, Reggaeton, Reggae",1
"Electrónica, Jazz, Soul",1
