redes_sociales_utilizadas_novedades_musicales,cantidad
"Instagram, TikTok",23
TikTok,16
"Instagram, TikTok, YouTube",15
"TikTok, YouTube",10
"No estoy al tanto de las tendencias",6
"Instagram, TikTok, Twitter/X, YouTube",4
"TikTok, Twitter/X",4
"Instagram, YouTube, Facebook",3
Instagram,3
"Instagram, TikTok, YouTube, Facebook",3
"Instagram, Facebook",3
"Instagram, Twitter/X",2
"Instagram, TikTok, Twitter/X, YouTube, Facebook",2
"Instagram, TikTok, Twitter/X",2
"Instagram, YouTube",2
"TikTok, YouTube, Facebook",2
Twitter/X,1
"Twitter/X, YouTube",1
"Instagram, Twitter/X, No estoy al tanto de las tendencias",1
"Instagram, TikTok, Facebook",1
YouTube,1
"TikTok, YouTube, No estoy al tanto de las tendencias",1
"TikTok, Facebook",1
