Genero,Frecuencia
"Pop,",71
"Rock,",40
"Reggaeton,",38
Corridos,16
tumbados,13
Electrónica,12
Kpop,12
"Hiphop,",12
"R&b,",10
R&b,8
"Electrónica,",8
"Kpop,",7
Baladas,6
Reggaeton,5
Boleros,5
Banda,5
(Regional,5
"Salsa,",4
Punk,4
Salsa,4
Indie,4
Mexicano),4
Mariachi,3
Jazz,3
"Jazz,",3
"Baladas,",2
Clásica,2
alternativa,2
Metal,2
"Corridos,",2
"Clásica,",2
"Country,",2
Hiphop,2
"Reggae,",2
Duranguense,2
y,2
Bandas,1
Reggae,1
Trapmetal,1
Cumbia,1
"Punk,",1
Lofi,1
"Mexicano),",1
Cantautores,1
"videojuegos,",1
de,1
sonoras,1
"Metal,",1
Country,1
Alternativo,1
Jpop,1
ingles,1
en,1
Pop,1
Alternativa,1
chill,1
"Boleros,",1
Rock,1
música,1
Trap,1
Soul,1
